error,mode,syndrome_r0,syndrome_r1,syndrome_r2
C:cnot12:IX,reset,00000000,10000000,10000000
C:cnot12:IX,noreset,00000000,10000000,00000000
C:cnot12:IY,reset,00000000,10001000,10001000
C:cnot12:IY,noreset,00000000,10001000,00000000
C:cnot12:IZ,reset,00000000,00001000,00001000
C:cnot12:IZ,noreset,00000000,00001000,00000000
C:cnot12:XI,reset,00000000,10000000,10000000
C:cnot12:XI,noreset,00000000,10000000,00000000
C:cnot12:XX,reset,00000000,00000000,00000000
C:cnot12:XX,noreset,00000000,00000000,00000000
C:cnot12:XY,reset,00000000,00001000,00001000
C:cnot12:XY,noreset,00000000,00001000,00000000
C:cnot12:XZ,reset,00000000,10001000,10001000
C:cnot12:XZ,noreset,00000000,10001000,00000000
C:cnot12:YI,reset,00001000,10000000,10000000
C:cnot12:YI,noreset,00001000,10001000,00001000
C:cnot12:YX,reset,00001000,00000000,00000000
C:cnot12:YX,noreset,00001000,00001000,00001000
C:cnot12:YY,reset,00001000,00001000,00001000
C:cnot12:YY,noreset,00001000,00000000,00001000
C:cnot12:YZ,reset,00001000,10001000,10001000
C:cnot12:YZ,noreset,00001000,10000000,00001000
C:cnot12:ZI,reset,00001000,00000000,00000000
C:cnot12:ZI,noreset,00001000,00001000,00001000
C:cnot12:ZX,reset,00001000,10000000,10000000
C:cnot12:ZX,noreset,00001000,10001000,00001000
C:cnot12:ZY,reset,00001000,10001000,10001000
C:cnot12:ZY,noreset,00001000,10000000,00001000
C:cnot12:ZZ,reset,00001000,00001000,00001000
C:cnot12:ZZ,noreset,00001000,00000000,00001000
C:cnot13:IX,reset,00000000,10000000,10000000
C:cnot13:IX,noreset,00000000,10000000,00000000
C:cnot13:IY,reset,00000100,10001100,10001100
C:cnot13:IY,noreset,00000100,10001000,00000100
C:cnot13:IZ,reset,00000100,00001100,00001100
C:cnot13:IZ,noreset,00000100,00001000,00000100
C:cnot13:XI,reset,00000000,00000000,00000000
C:cnot13:XI,noreset,00000000,00000000,00000000
C:cnot13:XX,reset,00000000,10000000,10000000
C:cnot13:XX,noreset,00000000,10000000,00000000
C:cnot13:XY,reset,00000100,10001100,10001100
C:cnot13:XY,noreset,00000100,10001000,00000100
C:cnot13:XZ,reset,00000100,00001100,00001100
C:cnot13:XZ,noreset,00000100,00001000,00000100
C:cnot13:YI,reset,00001000,00000000,00000000
C:cnot13:YI,noreset,00001000,00001000,00001000
C:cnot13:YX,reset,00001000,10000000,10000000
C:cnot13:YX,noreset,00001000,10001000,00001000
C:cnot13:YY,reset,00001100,10001100,10001100
C:cnot13:YY,noreset,00001100,10000000,00001100
C:cnot13:YZ,reset,00001100,00001100,00001100
C:cnot13:YZ,noreset,00001100,00000000,00001100
C:cnot13:ZI,reset,00001000,00000000,00000000
C:cnot13:ZI,noreset,00001000,00001000,00001000
C:cnot13:ZX,reset,00001000,10000000,10000000
C:cnot13:ZX,noreset,00001000,10001000,00001000
C:cnot13:ZY,reset,00001100,10001100,10001100
C:cnot13:ZY,noreset,00001100,10000000,00001100
C:cnot13:ZZ,reset,00001100,00001100,00001100
C:cnot13:ZZ,noreset,00001100,00000000,00001100
C:cnot14:IX,reset,00000000,10000000,10000000
C:cnot14:IX,noreset,00000000,10000000,00000000
C:cnot14:IY,reset,00000000,10001100,10001100
C:cnot14:IY,noreset,00000000,10001100,00000000
C:cnot14:IZ,reset,00000000,00001100,00001100
C:cnot14:IZ,noreset,00000000,00001100,00000000
C:cnot14:XI,reset,00000000,10000000,10000000
