group_id,size,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,members
40,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,C:cnot07:XI;C:cnot07:XZ;C:cnot20:IX
41,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C:cnot04:XI;C:cnot04:YZ;C:cnot15:IX
42,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,C:cnot20:YI;C:cnot21:YX;C:cnot21:ZX
43,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,C:cnot07:YI;C:cnot07:YZ;C:cnot20:ZY
44,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,C:cnot18:YI;C:cnot18:ZX;C:cnot19:YX
45,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,C:cnot10:YI;C:cnot21:YY;C:cnot21:ZY
46,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,C:cnot04:XZ;C:cnot04:YI;C:cnot15:ZY
47,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,C:cnot16:YI;C:cnot17:YX;C:cnot17:ZX
48,3,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,C:cnot09:YI;C:cnot17:YY;C:cnot17:ZY
49,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C:cnot14:YI;C:cnot14:ZX;C:cnot15:YX
50,3,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,C:cnot08:XZ;C:cnot08:YI;C:cnot16:ZY
51,3,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,C:cnot01:YI;C:cnot13:YY;C:cnot13:ZY
52,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,C:cnot05:XI;C:cnot05:XZ;C:cnot09:XX
53,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,C:cnot10:IY;C:cnot11:ZX;C:cnot11:ZY
54,3,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,C:cnot05:YI;C:cnot05:YZ;C:cnot09:YX
55,3,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,C:cnot08:IY;C:cnot08:ZX;C:cnot09:ZY
56,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,A:data6:X;C:cnot07:XX;C:cnot07:XY
57,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,C:cnot02:XI;C:cnot06:XX;C:cnot06:YY
58,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,A:data6:Y;C:cnot07:YX;C:cnot07:YY
59,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,C:cnot02:YI;C:cnot06:XY;C:cnot06:YX
60,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A:data2:X;C:cnot04:XX;C:cnot04:YY
61,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,A:data2:Y;C:cnot04:XY;C:cnot04:YX
62,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,A:data5:X;C:cnot05:XX;C:cnot05:XY
63,3,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,A:data5:Y;C:cnot05:YX;C:cnot05:YY
64,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,C:cnot02:IY;C:cnot03:ZX;C:cnot03:ZY
65,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,C:cnot00:IY;C:cnot00:ZX;C:cnot01:ZY
